#	Country	Date	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
46	Pakistan	28-02-2022	1,509,360	+856	30,178 	+5	1,443,284	+1,756	35,898	1,052	6,620	132	26,426,952	115,903	228,010,156 	Asia
47	Slovakia	28-02-2022	1,446,922	+4,728	18,485 	+32	1,231,220	+8,512	197,217	234	264,808	3,383	6,380,675	1,167,759	5,464,034 	Europe
48	Kazakhstan	28-02-2022	1,302,322	+263	13,596 	+4	1,267,502	+833	21,224	528	68,008	710	11,575,012	604,452	19,149,588 	Asia
49	Ireland	28-02-2022	1,300,422	+2,277	6,497 	+22	1,168,261	+5,091	125,664	47	258,566	1,292	11,377,091	2,262,134	5,029,362 	Europe
50	Norway	28-02-2022	1,242,160	+10,394	1,598 		88,952		1,151,610	18	226,191	291	9,852,076	1,794,016	5,491,632 	Europe
51	Morocco	28-02-2022	1,160,975	+83	15,988 	+10	1,140,720	+563	 4,267	293	30,847	425	11,237,010	298,564	37,636,906 	Africa
52	Bulgaria	28-02-2022	1,091,279	+2,759	35,581 	+99	840,177	+5,833	215,521	473	159,042	5,186	9,188,343	1,339,101	6,861,575 	Europe
53	Cuba	28-02-2022	1,069,862	+475	8,494 		1,058,640	+480	2,728	34	94,551	751	12,920,253	1,141,856	11,315,134 	North America
54	Lebanon	28-02-2022	1,068,710	+1,870	10,091 	+12	682,977		375,642	186	157,751	1,490	4,795,578	707,868	6,774,682  	Asia
55	Croatia	28-02-2022	1,054,794	+198	15,069 	+39	1,027,821	+2,770	11,904	98	259,596	3,709	4,512,457	1,110,562	4,063,221 	Europe
56	Tunisia	28-02-2022	998,230	+476	27,784 	+11	950,873	+3,056	19,573	222	83,020	2,311	4,343,907	361,271	12,023,949 	Africa
57	Nepal	28-02-2022	976,984	+119	11,936 	+1	956,813	+400	8,235	100	32,559	398	5,421,609	180,681	30,006,556 	Asia
58	Belarus	28-02-2022	919,736	+2,268	6,480 	+10	908,132	+2,089	5,124		97,387	686	12,438,809	1,317,090	9,444,161 	Europe
59	Lithuania	28-02-2022	902,554	+1,923	8,421 	+8	808,647	+2,175	85,486	95	339,407	3,167	 7,746,771	2,913,186	2,659,209 	Europe
60	Bolivia	28-02-2022	893,330	+107	21,432 	+6	788,463	+1,143	83,435	220	74,835	1,795	2,669,468	223,623	11,937,355 	South America
61	Slovenia	28-02-2022	892,649	+699	6,307 	+15	845,587	+3,639	40,755	104	429,279	3,033	2,570,221	1,236,032	2,079,413 	Europe
62	UAE	28-02-2022	879,973	+605	2,301 		834,041	+1,571	43,631		87,223	228	137,766,535	13,655,400	10,088,795 	Asia
63	Uruguay	28-02-2022	842,462	+1,951	6,985 	+8	812,907	+3,109	22,570	119	241,136	1,999	5,705,619	1,633,106	3,493,723 	South America
64	Ecuador	28-02-2022	827,760		35,223 		N/A	N/A	N/A	759	45,764	1,947	2,470,170	136,566	18,087,764 	South America
65	Costa Rica	28-02-2022	806,928	+1,264	8,037 	+6	667,558	+3,191	131,333	121	156,038	1,554	3,712,867	717,968	5,171,357 	North America
66	Azerbaijan	28-02-2022	 785,670	+369	9,417 	+17	765,373	+1,090	10,880		76,346	915	6,554,964	636,966	10,290,924 	Asia
67	Guatemala	28-02-2022	777,670	+679	16,977 	+6	719,515	+2,615	41,178	5	42,115	919	3,922,624	212,429	18,465,569 	 North America
68	Panama	28-02-2022	755,498	+236	8,083 	+4	741,856	+1,043	5,559	26	170,637	1,826	5,517,801	1,246,254	4,427,510 	North America
69	Saudi Arabia	28-02-2022	745,027	+653	8,998 	+2	723,549	+1,081	12,480	601	20,861	252	40,704,052	1,139,728	35,713,828 	Asia
70	Singapore	28-02-2022	724,424	+13,544	1,019 	+12	669,243	+18,884	54,162	32	122,230	172	23,141,120	3,904,525	5,926,744 	Asia
71	Latvia	28-02-2022	653,120	+3,616	5,239 	+9	513,598		134,283	76	352,739	2,829	6,711,057	3,624,530	1,851,566 	Europe
72	Sri Lanka	28-02-2022	646,034	+997	16,222 	+32	608,924	+205	20,888		29,961	752	6,282,076	291,345	21,562,352 	Asia
73	Paraguay	28-02-2022	641,767	+446	18,367 	+8	609,477	+1,003	13,923	144	88,179	2,524	2,529,065	347,495	7,277,994 	South America
74	Finland	28-02-2022	637,757	+28	2,366 	+2	46,000		589,391	35	114,807	426	9,927,154	1,787,062	5,555,015 	Europe
75	Kuwait	28-02-2022	619,894	+584	2,538 	+1	608,143	+1,486	9,213	56	141,677	580	7,645,362	1,747,347	4,375,411 	Asia
76	Myanmar	28-02-2022	587,891	+1,693	19,368 	+3	534,774	+1,379	33,749		10,686	352	7,120,830	129,433	55,015,506 	Asia
77	Palestine	28-02-2022	576,078	+706	5,226 	+10	555,027	+2,005	15,825	104	108,732	986	3,078,533	581,057	5,298,163 	Asia
78	Dominican Republic	28-02-2022	574,556	+264	4,368 		568,322	+291	1,866	40	52,097	396	3,115,197	282,467	11,028,532 	North America
79	Venezuela	28-02-2022	 515,124	+329	5,636 	+3	503,133	+715	6,355	230	18,201	199	3,359,014	118,684	28,302,128 	South America
80	Bahrain	28-02-2022	514,883	+2,577	1,454 	+1	487,781	+2,776	25,648	16	286,105	808	9,397,068	5,221,661	1,799,632 	Asia
81	Moldova	28-02-2022	501,800	+488	11,216 	+3	476,641	+723	13,943	96	124,876	2,791	3,024,067	752,556	4,018,392 	Europe
82	Libya	28-02-2022	494,446	+898	6,261 	+11	463,762	+2,660	24,423	129	70,370	891	2,423,118	344,859	7,026,406 	Africa
83	Estonia	28-02-2022	494,427	+2,278	2,236 	+11	368,812	+1,885	123,379	25	372,305	1,684	3,100,487	2,334,674	1,328,017 	Europe
84	Egypt	28-02-2022	483,771	+1,523	24,074 	+34	413,482	+1,321	46,215	122	4,584	228	3,693,367	34,996	105,537,554 	Africa
85	Ethiopia	28-02-2022	468,727	+53	7,462 	+2	417,161	+457	44,104	86	3,916	62	4,505,854	37,647	119,687,616 	Africa
86	Mongolia	28-02-2022	464,211	+166	2,168 		313,256		148,787	192	137,915	644	4,030,048	1,197,310	3,365,918 	Asia
87	Armenia	28-02-2022	419,832	+139	8,461 	 +12	401,677	+837	9,694		141,241	2,846	2,894,588	973,808	2,972,441 	Asia
88	Honduras	28-02-2022	411,212		10,720 		127,663		272,829	105	40,449	1,054	1,263,329	124,269	10,166,085 	North America
89	Oman	28-02-2022	382,244	+863	4,244 	+2	368,677	+1,473	9,323	60	71,822	797	25,000,000	4,697,422	5,322,068 	Asia
90	Bosnia and Herzegovina	28-02-2022	371,202	+135	15,459 	+24	192,218		163,525		114,324	 4,761	1,699,911	523,545	3,246,927 	Europe
91	Qatar	28-02-2022	356,982	+311	670 	+2	353,139	+586	3,173	20	127,139	239	3,374,531	1,201,840	2,807,805 	Asia
92	Kenya	28-02-2022	322,946	+16	 5,639 		303,261	+13	14,046	4	5,794	101	3,371,198	60,485	55,736,523 	Africa
93	Cyprus	28-02-2022	322,516	+2,356	856 	+2	124,370		197,290	60	263,935	701	9,477,138	7,755,724	1,221,954 	Asia
94	Zambia	28-02-2022	312,750	+43	3,952 		307,102	+256	1,696	1	16,257	205	3,270,113	169,983	19,237,881 	Africa
95	North Macedonia	28-02-2022	297,262	+181	9,010 	+9	284,756	+848	3,496		142,693	4,325	1,890,628	907,546	2,083,232 	Europe
96	Réunion	28-02-2022	292,126		640 		274,185		17,301	40	322,463	706	1,424,291	1,572,200	905,922 	Africa
97	Albania	28-02-2022	271,563	+36	3,469 	+5	265,588	+313	2,506	13	94,536	1,208	1,743,290	606,873	2,872,578 	Europe
98	Algeria	28-02-2022	264,936	+81	6,835 	+4	177,513	+76	80,588	11	5,866	151	230,861	5,111	45,165,210 	Africa
99	Botswana	28-02-2022	263,950		2,619 		259,434		1,897	1	108,603	1,078	2,026,898	833,971	2,430,419 	Africa
100	Nigeria	28-02-2022	254,560	+35	3,142 		249,079	+66	2,339	11	1,186	15	4,442,964	20,702	214,615,295 	Africa
101	Uzbekistan	28-02-2022	236,405	+106	1,635 	+2	232,918	+321	1,852	23	6,897	48	1,377,915	40,202	34,274,404 	Asia
102	Zimbabwe	28-02-2022	 236,380	+405	5,395 	+1	226,394	+325	4,591	12	15,529	354	2,081,091	136,715	15,222,085 	Africa
103	Montenegro	28-02-2022	230,207	+87	2,680 	+4	226,015	+168	1,512	60	366,456	4,266	1,169,541	1,861,739	628,198 	 Europe
104	Mozambique	28-02-2022	225,047	+9	2,192 		219,430	+109	3,425	13	6,881	67	1,268,833	38,793	32,707,793 	Africa
105	Hong Kong	28-02-2022	205,780	+34,466	744 	+85	13,232	 	191,804	16	27,084	98	36,260,319	4,772,364	7,597,978 	Asia
106	Kyrgyzstan	28-02-2022	200,500	+22	2,957 	+1	195,161	+105	2,382	131	29,913	441	1,907,195	284,535	6,702,855 	Asia
 107	Luxembourg	28-02-2022	183,177	+1,274	991 	+3	173,718	+2,340	8,468	6	284,931	1,541	4,069,682	6,330,372	642,882 	Europe
108	Afghanistan	28-02-2022	173,758	+193	7,603 	+7	156,456	+537	9,699	1,124	4,303	188	890,731	 22,057	40,382,946 	Asia
109	Maldives	28-02-2022	170,192	+560	297 		154,864	+618	15,031	25	305,911	534	2,187,033	3,931,073	556,345 	Asia
110	Uganda	28-02-2022	163,266	+16	3,588 	 	99,995	+5	59,683	35	3,392	75	2,460,535	51,116	48,136,346 	Africa
111	Ghana	28-02-2022	159,674	+550	1,442 		157,623	+490	609	1	4,967	45	2,321,483	72,210	32,149,212 	Africa
112	Namibia	28-02-2022	157,225	+15	4,007 		152,694		524	2	60,072	1,531	955,455	365,057	2,617,274 	Africa
113	El Salvador	28-02-2022	156,364	+396	4,071 	+3	132,410	+754	19,883	153	23,907	622	 1,758,939	268,928	6,540,555 	North America
114	Laos	28-02-2022	142,743	+134	621 		7,660		134,462		19,158	83	1,000,342	134,259	7,450,815 	Asia
115	Cambodia	28-02-2022	130,276	+356	3,032  		123,772	+419	3,472		7,617	177	2,859,086	167,168	17,103,074 	Asia
116	Iceland	28-02-2022	129,844	+1,099	62 	+1	75,685		54,097	2	376,446	180	1,754,901	5,087,835	344,921 	Europe
117	Rwanda	28-02-2022	129,502	+13	1,457 		45,522		82,523	1	9,604	108	4,845,030	359,294	13,484,844 	Africa
118	Jamaica	28-02-2022	127,986	+25	2,813 		76,987	+284	48,186	25	42,910	943	851,460	285,473	2,982,631 	North America
119	Trinidad and Tobago	28-02-2022	127,767	+363	3,628 	+6	102,314	+269	21,825	18	90,807	2,579	628,553	446,728	1,407,014 	North America
120	Guadeloupe	28-02-2022	126,642		837 		2,250		123,555	19	316,417	2,091	938,039	2,343,703	400,238 	North America
121	Cameroon	28-02-2022	119,240		1,923 		117,089		228	13	4,314	70	1,751,774	63,374	27,642,044 	Africa
122	Martinique	28-02-2022	112,901		876 		104		111,921	16	301,244	2,337	678,821	1,811,242	374,782 	North America
123	China	28-02-2022	109,326	+234	4,636 		101,936	+68	2,754	21	76	3	160,000,000	111,163	1,439,323,776 	Asia
124	New Zealand	28-02-2022	100,821	+14,683	56 		18,332	+218	82,433		20,156	 11	6,711,198	1,341,676	5,002,100 	Australia/Oceania
125	Angola	28-02-2022	98,741	+40	1,900 	+1	96,680	+58	161		2,857	55	1,428,954	41,345	34,561,599 	Africa
126	DRC	28-02-2022	86,018	+19	1,335 		50,930		33,753		914	14	846,704	9,000	94,076,736 	Africa
127	Senegal	28-02-2022	85,693	+17	1,960 		83,631	+9	102	2	4,904	112	1,014,840	58,071	17,475,830 	Africa
128	Malawi	28-02-2022	85,339	+11	2,615 		75,600	+22	7,124	67	4,278	131	546,965	27,417	19,949,936 	Africa
129	Ivory Coast	28-02-2022	81,483	+16	793 	+1	79,892	+76	798		2,967	29	1,417,847	51,630	27,461,880 	Africa
130	Suriname	28-02-2022	78,123	+31	1,316 		49,355	+1	27,452	3	131,220	2,210	228,303	383,471	595,360 	South America
131	French Guiana	28-02-2022	77,652		391 		11,254		66,007	6	249,265	1,255	591,966	1,900,226	311,524 	South America
132	Malta	28-02-2022	71,275	+40	605 	+1	69,566	+61	1,104	3	160,712	1,364	1,211,456	2,731,605	443,496 	Europe
133	Eswatini	28-02-2022	69,160	+30	1,390 		67,675	+32	95	11	58,605	1,178	477,592	404,702	1,180,109 	Africa
134	French Polynesia	28-02-2022	66,699	+1,116	639 	+1	N/A	N/A	N/A	7	235,183	2,253			283,605 	Australia/Oceania
135	Fiji	28-02-2022	63,930	+2	834 	+1	61,908	+18	1,188		70,467	919	497,039	547,863	907,232 	Australia/Oceania
136	Madagascar	28-02-2022	63,659		1,366 		58,677		3,616	61	2,205	47	398,434	13,800	28,871,890 	Africa
137	Brunei 	28-02-2022	63,542	+4,095	125 	+4	33,512	+2,490	29,905		142,973	281	712,994	1,604,274	444,434 	Asia
138	Guyana	28-02-2022	62,921	+30	1,220 		61,219	+290	482	8	79,360	1,539	539,596	680,573	792,855 	South America
